ID,Company,Role,Job Description
1,Reliance Retail,Sales Field Inter,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
2,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
3,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
4,Taj Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
5,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
6,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
7,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
8,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
9,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
10,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
11,Samsung India,Sales Field Intern,"sales, Marketing, Consumer Durable"
12,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
13,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
14,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
15,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
16,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
17,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
18,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
19,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
20,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
21,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
22,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
23,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
24,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
25,Crompton,Sales Officer,Consumer Durable loan Sales
26,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
27,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
28,Oberoi Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
29,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
30,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
31,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
32,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
33,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
34,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
35,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
36,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
37,Times Internet,Editor,"Editing, creative design, and visual communication combine storytelling, design principles, and digital tools to create engaging content that informs, inspires, and connects with audiences."
38,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
39,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
40,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
41,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
42,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
43,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
44,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
45,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
46,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
47,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
48,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
49,Havells,Oil and Gas Sales Trainee Chennai,"New Merchant Acquisition Merchant Reactivation Relationship Management, Up-selling Market Mapping"
50,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
51,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
52,ITC Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
53,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
54,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
55,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
56,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
57,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
58,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
59,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
60,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
61,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
62,Wipro,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
63,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
64,Taj Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
65,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
66,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
67,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
68,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
69,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
70,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
71,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
72,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
73,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
74,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
75,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
76,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
77,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
78,IBM India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
79,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
80,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
81,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
82,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
83,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
84,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
85,LG Electronics,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
86,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
87,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
88,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
89,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
90,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
91,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
92,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
93,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
94,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
95,Crompton,Sales Field Intern,"sales, Marketing, Consumer Durable"
96,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
97,LG Electronics,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
98,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
99,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
100,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
101,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
102,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
103,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
104,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
105,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
106,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
107,Havells,Sales Field Intern,"sales, Marketing, Consumer Durable"
108,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
109,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
110,Wipro,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
111,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
112,Taj Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
113,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
114,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
115,Infosys,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
116,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
117,Amazon India,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
118,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
119,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
120,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
121,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
122,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
123,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
124,Marriott,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
125,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
126,Google India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
127,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
128,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
129,Zoho,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
131,Voltas,Sales Field Intern,"sales, Marketing, Consumer Durable"
132,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
133,Samsung India,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
134,TCS,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
135,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
136,ITC Hotels,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
137,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
138,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
139,TCS,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
140,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
141,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
142,Havells,Sales Field Intern,"Sales, Marketing, Consumer Durable"
143,Samsung India,Sales Field Intern,"sales, Marketing, Consumer Durable"
144,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable"
145,Reliance Retail,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
146,Infosys,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
147,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
149,Godrej,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
150,Microsoft India,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
151,L&T,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
152,Paytm,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
153,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
154,Voltas,Sales Field Intern,"Sales, Marketing, Consumer Durable"
155,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
156,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
157,Voltas,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
158,Accenture,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
159,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
160,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
161,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
162,TCS,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
163,Tech Mahindra,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
164,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
165,Flipkart,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
166,Samsung India,Sales Field Intern,"Sales, Marketing, Consumer Durable"
167,Reliance Retail,Sales Field Intern,"sales, Marketing, Consumer Durable"
168,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
169,Crompton,Sales Field Intern,"Sales, Marketing, Retail Outlet handling, Consumer Durable Products"
170,Cognizant,Operations,"Support workforce analytics, business finance, and talent acquisition through data management, reporting, P, L analysis, recruitment coordination, and dashboard creation using Excel, Power BI, AI tools, and business intelligence platforms."
171,Various Companies,Assest Engineer,"Support IT hardware asset management by maintaining inventory records, ensuring process compliance, tracking asset lifecycle activities, supporting audits, and delivering timely services in line with HAM policies, SLAs, and governance standards."
172,Hyatt,Hotelier in Training,"Assist in Front Office, Housekeeping and Food, Beverage operations, including guest services, room readiness, dining support, inventory management, reporting and adherence to safety, hygiene and quality standards."
173,LG Electronics,Sales Field Intern,"Sales, Marketing, Consumer Durable Products, Retail Outlet Handling"
174,Infosys,GenAI Data Engineer Intern,"Build and support AI-ready data pipelines, optimize SQL queries, prepare structured and unstructured data, manage vector databases, and collaborate with Data Scientists to enable ML and Generative AI solutions."
175,HCL Technologies,Project Management Intern,"Build in-demand project management skills through hands-on exposure to PMO operations, stakeholder collaboration, dashboard analytics, resource planning, risk management, and business reporting in a dynamic corporate environment."
176,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
177,Freshworks,Invoice Processing Internship,"Supported Accounts Payable activities by processing invoices and credit notes, validating approvals and GL codes, performing compliance checks, reconciling records, auditing claims, and assisting with month-end reporting."
178,Reliance Retail,Sales Field Intern,"Sales, Marketing, Consumer Durable"
179,Godrej,Sales Field Intern,"sales, Marketing, Consumer Durable"
180,Crompton,Sales Field Intern,"Sales, Marketing, Consumer Durable"
